task,k,condition_a,condition_b,b_match,idlekv,random_k,oldest_k,oracle_k,selection_lift,oracle_lift,pct_idlekv_gt_b_match,pct_idlekv_lt_b_match,select_transfer_inject_ms,condition_a_lo,condition_a_hi,condition_b_lo,condition_b_hi,b_match_lo,b_match_hi,idlekv_lo,idlekv_hi,idlekv_coverage,idlekv_coverage_lo,idlekv_coverage_hi,idlekv_mmr,idlekv_mmr_lo,idlekv_mmr_hi,wrong_q_k,wrong_q_k_lo,wrong_q_k_hi,stale_q_k,stale_q_k_lo,stale_q_k_hi,contrastive_q_k,contrastive_q_k_lo,contrastive_q_k_hi,random_k_lo,random_k_hi,oldest_k_lo,oldest_k_hi,oracle_k_lo,oracle_k_hi
mq_niah_8q_split_3678_to_1245,24,1.0,0.6458333333333334,0.6458333333333334,0.6875,0.6354166666666666,0.6354166666666666,0.90625,0.041667,0.260417,0.208333,0.041667,15.385551,1.0,1.0,0.59375,0.6979166666666666,0.59375,0.6979166666666666,0.6354166666666666,0.7395833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59375,0.6875,0.5833333333333334,0.6875,0.8541666666666666,0.9481770833333331
mq_niah_8q_split_3678_to_1245,32,1.0,0.6458333333333334,0.6458333333333334,0.71875,0.6354166666666666,0.6354166666666666,0.9479166666666666,0.072917,0.302083,0.333333,0.041667,15.641524,1.0,1.0,0.59375,0.6979166666666666,0.6041666666666666,0.6979166666666666,0.6770833333333334,0.7604166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.6770833333333334,0.5833333333333334,0.6773437499999998,0.90625,0.9895833333333334
mq_niah_8q_split_3678_to_1245,48,1.0,0.6458333333333334,0.6458333333333334,0.7395833333333334,0.6354166666666666,0.6458333333333334,1.0,0.09375,0.354167,0.416667,0.083333,15.93539,1.0,1.0,0.59375,0.6979166666666666,0.59375,0.6877604166666664,0.6770833333333334,0.8020833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.6875,0.59375,0.6979166666666666,1.0,1.0
mq_niah_8q_split_3678_to_1245,64,1.0,0.6458333333333334,0.65625,0.8229166666666666,0.6458333333333334,0.6458333333333334,1.0,0.166667,0.34375,0.625,0.0,15.850096,1.0,1.0,0.59375,0.6875,0.6041666666666666,0.6979166666666666,0.7708333333333334,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59375,0.6979166666666666,0.59375,0.6979166666666666,1.0,1.0
mq_niah_8q_split_3678_to_1245,80,1.0,0.6458333333333334,0.65625,0.9166666666666666,0.6354166666666666,0.6458333333333334,1.0,0.260417,0.34375,0.916667,0.0,15.552758,1.0,1.0,0.59375,0.6875,0.6041666666666666,0.6979166666666666,0.8645833333333334,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.6875,0.59375,0.6979166666666666,1.0,1.0
mq_niah_8q_split_3678_to_1245,96,1.0,0.6458333333333334,0.6666666666666666,0.9791666666666666,0.6458333333333334,0.6458333333333334,1.0,0.3125,0.333333,0.958333,0.0,15.680459,1.0,1.0,0.6041666666666666,0.6979166666666666,0.625,0.7083333333333334,0.9479166666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59375,0.6979166666666666,0.59375,0.6979166666666666,1.0,1.0
mq_niah_8q_split_3678_to_1245,128,1.0,0.6458333333333334,0.65625,1.0,0.6458333333333334,0.6458333333333334,1.0,0.34375,0.34375,1.0,0.0,15.945782,1.0,1.0,0.59375,0.6875,0.6041666666666666,0.7083333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59375,0.6979166666666666,0.59375,0.6979166666666666,1.0,1.0
mq_niah_8q_split_4678_to_1235,8,0.9791666666666666,0.4270833333333333,0.4270833333333333,0.4270833333333333,0.4270833333333333,0.4270833333333333,0.4479166666666667,0.0,0.020833,0.0,0.0,17.474754,0.9479166666666666,1.0,0.3645833333333333,0.5,0.3645833333333333,0.48984374999999974,0.36432291666666666,0.4895833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36432291666666666,0.5,0.3645833333333333,0.4895833333333333,0.3854166666666667,0.5104166666666666
mq_niah_8q_split_4678_to_1235,16,0.9791666666666666,0.4270833333333333,0.4270833333333333,0.40625,0.4270833333333333,0.4270833333333333,0.6041666666666666,-0.020833,0.177083,0.0,0.083333,15.475195,0.9479166666666666,1.0,0.3645833333333333,0.5,0.3645833333333333,0.4895833333333333,0.34375,0.4791666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3645833333333333,0.5,0.3645833333333333,0.5,0.5520833333333334,0.65625
mq_niah_8q_split_4678_to_1235,24,0.9791666666666666,0.4270833333333333,0.4270833333333333,0.46875,0.4270833333333333,0.4270833333333333,0.6979166666666666,0.041667,0.270833,0.208333,0.041667,15.332868,0.9479166666666666,1.0,0.3645833333333333,0.5,0.3645833333333333,0.48984374999999974,0.3958333333333333,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3645833333333333,0.5,0.3645833333333333,0.5,0.6458333333333334,0.7604166666666666
