candidate_tokens,k,query_len,chunk_tokens,candidate_chunks,source_pool_chunks,host_pool_tokens,host_pool_coverage,trials,device,dtype,n_layers,n_query_heads,n_kv_heads,head_dim,key_bytes_per_token,streamed_key_bytes,offloaded_kv_bytes,selected_kv_bytes,pin_memory_requested,pin_memory_effective,p50_scan_ms,p95_scan_ms,p99_scan_ms,p50_topk_ms,p95_topk_ms,p99_topk_ms,p50_total_ms,p95_total_ms,p99_total_ms,mean_total_ms
32768,96,128,16384,2,2,32768,1.0,80,cuda,bfloat16,28,28,4,128,28672,939524096,1879048192,5505024,True,True,58.23666101787239,58.30621260683984,58.49751573754474,0.1598534872755408,0.1779871177859604,0.1996679627336561,58.39578993618488,58.46832091920078,58.657917834352695,58.41223128372803
32768,512,128,16384,2,2,32768,1.0,80,cuda,bfloat16,28,28,4,128,28672,939524096,1879048192,29360128,True,True,58.23666101787239,58.30621260683984,58.49751573754474,0.0888210488483309,0.1139853848144412,0.1212115236558019,58.33137151785195,58.39408467290923,58.58748185914009,58.34432418632787
32768,1024,128,16384,2,2,32768,1.0,80,cuda,bfloat16,28,28,4,128,28672,939524096,1879048192,58720256,True,True,58.23666101787239,58.30621260683984,58.49751573754474,0.0816874671727418,0.0981357065029442,0.1039139926433562,58.32542199641466,58.38817874900997,58.58169097220525,58.33750839228742
32768,5000,128,16384,2,2,32768,1.0,80,cuda,bfloat16,28,28,4,128,28672,939524096,1879048192,286720000,True,True,58.23666101787239,58.30621260683984,58.49751573754474,0.0797149259597063,0.0941112521104514,0.1062218425795435,58.3170804893598,58.38618315756321,58.57672520913183,58.33479637512937
65536,96,128,16384,4,4,65536,1.0,80,cuda,bfloat16,28,28,4,128,28672,1879048192,3758096384,5505024,True,True,116.28580407705158,116.34080657968298,116.36437837034464,0.1607025042176246,0.1734603312797844,0.1957027637399731,116.44729308318348,116.5001965709962,116.51664149714634,116.44801244547124
65536,512,128,16384,4,4,65536,1.0,80,cuda,bfloat16,28,28,4,128,28672,1879048192,3758096384,29360128,True,True,116.28580407705158,116.34080657968298,116.36437837034464,0.0892920652404427,0.1023720251396298,0.1338329841382801,116.37778650037944,116.43641970586032,116.4502685284242,116.37972112512216
65536,1024,128,16384,4,4,65536,1.0,80,cuda,bfloat16,28,28,4,128,28672,1879048192,3758096384,58720256,True,True,116.28580407705158,116.34080657968298,116.36437837034464,0.0816384563222527,0.0996024813503026,0.1201909687370061,116.3680920144543,116.42960789613426,116.44452895503493,116.37199816468636
65536,5000,128,16384,4,4,65536,1.0,80,cuda,bfloat16,28,28,4,128,28672,1879048192,3758096384,286720000,True,True,116.28580407705158,116.34080657968298,116.36437837034464,0.0805904855951666,0.1009079162031412,0.1181282894685863,116.37171800248323,116.43157890066504,116.45285445963964,116.37203698046504
131072,96,128,16384,8,8,131072,1.0,80,cuda,bfloat16,28,28,4,128,28672,3758096384,7516192768,5505024,True,True,232.4474540073425,232.5677409535274,232.8929492807947,0.1628708560019731,0.1814371440559625,0.190205555409193,232.61392943095416,232.7346359496005,233.05422565434128,232.6325858128257
131072,512,128,16384,8,8,131072,1.0,80,cuda,bfloat16,28,28,4,128,28672,3758096384,7516192768,29360128,True,True,232.4474540073425,232.5677409535274,232.8929492807947,0.0920169986784458,0.1042583957314491,0.1128162117674946,232.5399451656267,232.66808717744425,232.98069547628984,232.56147266947664
131072,1024,128,16384,8,8,131072,1.0,80,cuda,bfloat16,28,28,4,128,28672,3758096384,7516192768,58720256,True,True,232.4474540073425,232.5677409535274,232.8929492807947,0.0873920507729053,0.0986646278761327,0.1015746034681796,232.53509507048875,232.65318027697504,232.977776885964,232.55579235847108
131072,5000,128,16384,8,8,131072,1.0,80,cuda,bfloat16,28,28,4,128,28672,3758096384,7516192768,286720000,True,True,232.4474540073425,232.5677409535274,232.8929492807947,0.0866964692249894,0.0955361407250166,0.1000230433419346,232.53578308504075,232.65345803229135,232.9866699501872,232.5547874206677
262144,96,128,16384,16,16,262144,1.0,80,cuda,bfloat16,28,28,4,128,28672,7516192768,15032385536,5505024,True,True,464.8259411333129,464.8869226919487,464.9205016484484,0.1603935379534959,0.1736190868541598,0.1907104649581014,464.98721605166793,465.0493211694993,465.0816621608101,464.9855752912117
262144,512,128,16384,16,16,262144,1.0,80,cuda,bfloat16,28,28,4,128,28672,7516192768,15032385536,29360128,True,True,464.8259411333129,464.8869226919487,464.9205016484484,0.1010060077533125,0.1150022959336638,0.1171520561911165,464.9266726337373,464.989598817192,465.02189797582105,464.9259406578494
262144,1024,128,16384,16,16,262144,1.0,80,cuda,bfloat16,28,28,4,128,28672,7516192768,15032385536,58720256,True,True,464.8259411333129,464.8869226919487,464.9205016484484,0.0960200559347868,0.1054499181918799,0.1080576493404805,464.9237060220912,464.9848136352375,465.015840686392,464.9207085982198
262144,5000,128,16384,16,16,262144,1.0,80,cuda,bfloat16,28,28,4,128,28672,7516192768,15032385536,286720000,True,True,464.8259411333129,464.8869226919487,464.9205016484484,0.0958024756982922,0.0993000459857285,0.1028935331851244,464.921522536315,464.9883965379559,465.0181832024828,464.9197068210924
