task,k,n,condition_b_overlap,b_match_overlap,idlekv_overlap,wrong_q_k_overlap,stale_q_k_overlap,contrastive_q_k_overlap,random_k_overlap,oldest_k_overlap,oracle_k_overlap
mq_niah_8q_split_2678_to_1345,128,24,0.5294384166666667,0.5335145416666667,0.8469202916666667,0.5294384057971014,0.5294384057971014,0.5294384057971014,0.5317029166666667,0.5294384166666667,0.927989125
mq_niah_8q_split_3678_to_1245,8,24,0.6254529583333334,0.6254529583333334,0.6254529583333334,0.6254528985507246,0.6254528985507246,0.6254528985507246,0.6254529583333334,0.6254529583333334,0.6354166666666666
mq_niah_8q_split_3678_to_1245,16,24,0.6254529583333334,0.6263587083333334,0.6390398333333334,0.6254528985507246,0.6254528985507246,0.6254528985507246,0.6254529583333334,0.6254529583333334,0.668931125
mq_niah_8q_split_3678_to_1245,24,24,0.6254529583333334,0.6263587083333334,0.655797125,0.6254528985507246,0.6254528985507246,0.6254528985507246,0.6254529583333334,0.6254529583333334,0.8007245833333334
mq_niah_8q_split_3678_to_1245,32,24,0.6254529583333334,0.626811625,0.6671195416666666,0.6254528985507246,0.6254528985507246,0.6254528985507246,0.6254529583333334,0.6254529583333334,0.844202875
mq_niah_8q_split_3678_to_1245,48,24,0.6254529583333334,0.626811625,0.6938405,0.6254528985507246,0.6254528985507246,0.6254528985507246,0.6254529583333334,0.6254529583333334,0.9008151666666667
mq_niah_8q_split_3678_to_1245,64,24,0.6254529583333334,0.6272645,0.75317025,0.6254528985507246,0.6254528985507246,0.6254528985507246,0.6254529583333334,0.6254529583333334,0.9008151666666667
mq_niah_8q_split_3678_to_1245,80,24,0.6254529583333334,0.6281703333333334,0.822463875,0.6254528985507246,0.6254528985507246,0.6254528985507246,0.6259058750000001,0.6254529583333334,0.9008151666666667
mq_niah_8q_split_3678_to_1245,96,24,0.6254529583333334,0.6281703333333334,0.8559783333333333,0.6254528985507246,0.6254528985507246,0.6254528985507246,0.6254529583333334,0.6254529583333334,0.9008151666666667
mq_niah_8q_split_3678_to_1245,128,24,0.6254529583333334,0.6281703333333334,0.8817934583333332,0.6254528985507246,0.6254528985507246,0.6254528985507246,0.629076125,0.6254529583333334,0.9008151666666667
